rt	media	hashtag	host	nominees	winner	presenter
	http://t.co/	redcarpet	perfect	darcy st fudge	best supporting actor at	('salma hayek just', 'me')
	http://t.co/	alfombrarojae	best	i	best miniseries	('robert pattinson came', 'voluntarily')
	http://t.co/	shocking	amy to	darcy st fudge	best supporting actor for django unchained at the golden globes	(' what idiot missed out on the opportunity to have salma hayek', 'sofia vergara', 'together')
	http://t.co/	redcarpet	loving these	liz and dick	best supporting actor in	(' all the poc', 'back')
	http://t.co/	goldenglobes	s have amy and tina	darcy st fudge	best supporting actor at the golden globes 2013 http	('re', 'here')
	http://t.co/	goldenglobes	these ladies will never	jessica lange	best supporting actor at the golden globes 2013	(' rich kid who', 'a')
	http://t.co/	goldenglobes	goldenglobes only watching because of the	darcy st fudge	best mini	(' we wish tina fey', 'amy poehler could stay on stage all night and', 'every')
	http://t.co/	oscarssnub	tina are making everyone laugh they are the best	jessica lange	best supporting actor at	('maybe they should', 'damien lewis awards on set since that seems', 'be')
	http://t.co/	goldenglobes	the 	jessica lange	best mini	(' and he', 'nc')
	http://t.co/	foreversegundo	best award show	darcy st fudge	best miniseries	(' you posted the winner before it was', 'on')
	http://t.co/	fashion	great choices for	darcy st fudge	best miniseries or tv movie	(' watching rich people', 'awards', 'more')
	http://t.co/	goldenglobes	x lady	darcy st fudge	best mini	(' news', 'chocolate back', 'julia')
	http://t.co/	redcarpet	what do you think of the	darcy st fudge	best supporting actor http	"('why does the foreign press have so much power to', 'awards? i don\'t get it"" - my mom, the best person', 'watch')"
	http://t.co/	goldenglobes	these lame ass jokes from these lame ass	darcy st fudge	best supp	('d', 'anything', 'see')
	http://t.co/	goldenglobes	so this is how it is when super funny people	darcy st fudge	best mini series	('goldenglobes damien lewis', 'first')
	http://t.co/	goldenglobes	now these are	darcy st fudge	best supporting actress in a tv show	(' give', 'awards', 'homeland')
	http://t.co/	goldenglobes	please	darcy st fudge	best tv movie	('damian lewis', 'a')
	http://t.co/	goldenglobes	see what happens when you let actual funny people	darcy st fudge	best mini	('t a skill of the', 'actors')
	http://t.co/	goldenglobes	so this is how it is when super funny people	fudge	best miniseries	('re', 'these')
	http://t.co/	goldenglobes	they made a great decision to have tina and amy	darcy st fudge	best mini	('and god', 'golden')
	http://t.co/	goldenglobes	tina fey and amy poehler are killing it tonight as the	jessica lange	best supporting actor	(' not going to', 'it', 'them')
	http://t.co/	goldenglobes	so this is how it is when super funny people	darcy st fudge	best tv mini series	('why did they give out best drama series before they', 'best')
	http://t.co/	goldenglobes	this	darcy st fudge	best supporting actor in a motion picture for his role in django unchained	('re', '#')
	http://t.co/	redcarpet	i have not seen someone so alone and abandoned in a performance since you	jessica lange	best tv movie	('that guy who', 'made')
	http://t.co/	goldenglobes	i love amy poeler and tina fey as	jessica lange	best supporting actor	('t know until tonight that anyone', 'a')
	http://t.co/	goldenglobes	let queen amy and queen tina	darcy st fudge	best supporting actor	('homeland', 'a')
	http://t.co/	goldenglobes	i want tina fey and amy poehler to	darcy st fudge	best mini	(' alex gansa just', 'you')
	http://t.co/	eredcarpet	goldenglobes have the best funniest	jessica lange	best mini series or tv movie	('homeland but that producer', 'away')
	http://t.co/	goldenglobes	tina fey and amy poehler are already the best	darcy st fudge	best mini	(' whoever it was', 'it')
	http://t.co/	goldenglobes	can tina and amy	darcy st fudge	best supporting actor at	('re not', 'with')
	http://t.co/	shade	s hard not to love tina fey and amy poehler as	darcy st fudge	best mini	(' they were', 'two')
	http://t.co/	goldenglobes	great choice for	eddie	best supporting actor	(' are you going', 'at')
	http://t.co/	goldenglobes	they ask you to	ve	best tv movie or miniseries	('re not', 'with')
	http://t.co/	goldenglobes	can amy and tina	darcy st fudge	best supporting actor for django unchained	('t claire danes just', 'birth?', 'what')
	http://t.co/	eredcarpet	amy would be	jessica lange	best supporting	(' the golden globes twitter', 'winners')
	http://t.co/	goldenglobes	amy poehler best award	jessica lange	best supporting actor	('i like how he just', 'what')
	http://t.co/	redcarpet	give a golden globe to whoever decided to let these two	darcy st fudge	best supporting actor at	(' winners', 'http')
	http://t.co/	redcarpet	they should have paid tina and amy the budget of the hobbit to	darcy st fudge	best supporting actress in a tv show	('m actually unable to', 'words', 'how')
	http://t.co/	goldenglobes	amypoehler	jessica lange	best mini	('re not', 'with')
	http://t.co/	goldenglobes	tina fey and amy poehler should	fudge	best tv movie	('goldenglobes', 'anything')
	http://t.co/	goldenglobes	best	darcy mcfudge	best supporting actress for tv performance in	('the epiphany the golden globes just', 'me')
	http://t.co/	goldenglobes	ve found the best	jessica lange	best supporting actor at	(' but someone', 'me')
	http://t.co/	redcarpet	the best	darcy st fudge	best supporting actress in a tv movie	(' i think paul rudd pronounced breaking bad wrong when he', 'best')
	http://t.co/	goldenglobes	love the	darcy st fudge	best tv miniseries	"(' robert pattinson and amanda seyfried', ""'"")"
	http://t.co/	goldenglobes	love the	darcy st fudge	best supporting actress in a tv movie	('homeland dude', 'away')
	http://t.co/	gg2013	tina and amy are great	darcy st fudge	best supporting actor at	('we', 'america')
	http://t.co/	goldenglobes	are you watching	jessica lange	best actress in tv movie	(' i think paul rudd pronounced breaking bad wrong when he', 'best')
	http://t.co/	goldenglobes	tina and amy should	darcy st fudge	best supporting actor for django unchained	(' i think paul rudd pronounced breaking bad wrong when he', 'best')
	http://t.co/	goldenglobes	s just let these two	darcy st fudge	best picture over lincoln	('they just', 'who')
	http://t.co/	goldenglobes	best	ve	best actress award in the tv mini	('re not', 'with')
	http://t.co/	goldenglobes	so this is how it is when super funny people	jessica lange	best actress for a mini	('just', 'me a shot of jlo giving side eye action', 'ben')
	http://t.co/	eredcarpet	so this is how it is when super funny people	darcy st fudge	best actress in a miniseries or tv movie	('your identity has been', 'already')
	http://t.co/	goldenglobes	tina fey and amy poehler are killing it in their opening monologue so far	liz and dick	best actress in a mini	(' winners', 'http')
	http://t.co/	goldenglobes	i have never seen someone so lost and abandoned since you	darcy st fudge	best director at	('they need to', 'tina')
	http://t.co/	iquit	love that amy poehler and tina fey are the	jessica lange	best actress in a miniseries or motion picture made for television for game change	(' is it awkward to show the ben affleck movie trailer', 'then have jennifer lopez', 'right')
	http://t.co/	goldenglobes	they are great	fudge	best actress for miniseries	('s hilarious to me that jason statham', 'at')
	http://t.co/	heidiklum	t have picked better	darcy st fudge	best actress in a tv series for	('gotta', 'credit', 'where')
	http://t.co/	redcarpet	goldenglobes best	darcy st fudge	best actress in mini	('re gonna', 'tondy')
	http://t.co/	goldenglobes	of the golden globes	jessica lange	best supporting actor	('anybody else find it incredibly awkward that jlo', 'an')
	http://t.co/	goldenglobes	omg amy poehler and tina fay are the best	jessica lange	best supporting actor at	('just', 'it', 'john')
	http://t.co/	goldenglobes	amy poehler	we think the hobbit	best actress in a miniseries or tv movie for	('since statham', 'at')
	http://t.co/	goldenglobes	they need to	jessica lange	best actress in a tv movie for	(' why you should never have spies', 'awards')
	http://t.co/	goldenglobes	goldenglobes	darcy st fudge	best actress in a tv movie for playing	('the ceremony', 'alot')
	http://t.co/	goldenglobes	amy poehler and tina fey should	jessica lange	best actress for tv movie role in game change	"(' robert pattinson and amanda seyfried', ""'"")"
	http://t.co/	goldenglobes	snl is showing everyone how to	darcy st fudge	best supporting actor globe for	('argo is', 'at')
	http://t.co/	goldenglobes	amy poehler and tina fey will	jessica lange	best actress in a mini	('that awkward moment when your ex comes out', 'right')
	http://t.co/	goldenglobes	goldenglobes when it was	darcy st fudge	best actress in a miniseries or motion picture made for television for game change	('t', 'all')
	http://t.co/	eredcarpet	why do i feel like tina and amy are acting just like kate and angie would if they	darcy st fudge	best supporting actress for tv performance in	"(' robert pattinson and amanda seyfried', ""'"")"
	http://t.co/	goldenglobes	amy and tina should	t	best actress in a mini series or tv movie	('stars jason statham', 'jennifer lopez', 'best')
